observation_date,PCAGDPTRA646NWDB
1960-01-01,267.091207552765
1961-01-01,274.350890943262
1962-01-01,298.241020884883
1963-01-01,337.019856859205
1964-01-01,354.365541117168
1965-01-01,369.967082204625
1966-01-01,424.984610131778
1967-01-01,459.449369053159
1968-01-01,501.121309041110
1969-01-01,543.947401329478
1970-01-01,487.565086682435
1971-01-01,430.897259673783
1972-01-01,537.337529232528
1973-01-01,661.080821885172
1974-01-01,880.728167716848
1975-01-01,1121.543269149760
1976-01-01,1227.924096581990
1977-01-01,1371.961856514630
1978-01-01,1510.185310649440
1979-01-01,2013.373742865030
1980-01-01,1515.645898500680
1981-01-01,1536.665620641010
1982-01-01,1360.238252197750
1983-01-01,1275.683376171310
1984-01-01,1209.051493833130
1985-01-01,1326.427014453070
1986-01-01,1461.496586547540
1987-01-01,1649.962647944020
1988-01-01,1685.694792405350
1989-01-01,1948.591794547940
1990-01-01,2689.526219212330
1991-01-01,2649.272599744390
1992-01-01,2743.653202979360
1993-01-01,3057.937374804220
1994-01-01,2176.280181380900
1995-01-01,3845.989978878410
1996-01-01,4041.362102816860
1997-01-01,4197.376361656420
1998-01-01,4331.027612750370
1999-01-01,3973.777638541160
2000-01-01,4199.379863575900
2001-01-01,3052.225670679300
2002-01-01,3591.086289825870
2003-01-01,4649.636680685860
2004-01-01,5979.605421614800
2005-01-01,7331.854294302550
2006-01-01,7990.082514072450
2007-01-01,9766.917345452939
2008-01-01,10913.407904776899
2009-01-01,9076.924722369769
2010-01-01,10698.969940975700
2011-01-01,11373.635576088500
2012-01-01,11776.759336203300
2013-01-01,12635.557001606800
2014-01-01,12209.386232767400
2015-01-01,11064.649450466201
2016-01-01,10984.364316906100
2017-01-01,10756.387767788299
2018-01-01,9684.118198847211
2019-01-01,9395.233780013679
2020-01-01,8798.117917093130
2021-01-01,9981.763984113360
2022-01-01,10897.839786136499
2023-01-01,13375.094728286400
2024-01-01,15892.715728724101
